,crash_date,crash_time,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,collision_id,vehicle_type_code1,latitude,longitude,location,on_street_name,borough,zip_code,off_street_name,contributing_factor_vehicle_2,vehicle_type_code2,contributing_factor_vehicle_3,vehicle_type_code_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,vehicle_type_code_4,vehicle_type_code_5,crash_year
298,2019-09-02T00:00:00.000,2025-11-21 06:00:00,805       BROADWAY                      ,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Aggressive Driving/Road Rage,4198817.0,Tractor Truck Diesel,40.699673,-73.940056,"{'latitude': 40.699673, 'longitude': -73.940056}",,BROOKLYN,11206.0,,Unspecified,Station Wagon/Sport Utility Vehicle,Unspecified,Bike,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,2019.0
319,2019-05-15T00:00:00.000,2025-11-21 17:38:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Driver Inattention/Distraction,4133718.0,Box Truck,40.626755,-73.98598,"{'latitude': 40.626755, 'longitude': -73.98598}",17 AVENUE                       ,,,,Unspecified,Station Wagon/Sport Utility Vehicle,Unspecified,Bike,,,,,2019.0
333,2019-01-01T00:00:00.000,2025-11-21 05:59:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Driver Inattention/Distraction,4060483.0,Station Wagon/Sport Utility Vehicle,40.661163,-74.00069,"{'latitude': 40.661163, 'longitude': -74.00069}",3 AVENUE                        ,BROOKLYN,11232.0,26 STREET,Other Vehicular,Station Wagon/Sport Utility Vehicle,Unspecified,Bike,,,,,2019.0
388,2017-10-31T00:00:00.000,2025-11-21 15:08:00,,12.0,8.0,7.0,6.0,1.0,2.0,4.0,0.0,Other Vehicular,3782508.0,Flat Bed,40.729046,-74.01073,"{'latitude': 40.729046, 'longitude': -74.01073}",WEST STREET                     ,MANHATTAN,10014.0,WEST HOUSTON STREET,Unspecified,Bus,Unspecified,Bike,Unspecified,Unspecified,Bike,Bike,2017.0
438,2017-05-04T00:00:00.000,2025-11-21 18:00:00,30        EAST 20 STREET                ,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Driver Inattention/Distraction,3663662.0,Sedan,40.738785,-73.98887,"{'latitude': 40.738785, 'longitude': -73.98887}",,MANHATTAN,10003.0,,Unspecified,Taxi,Unspecified,Bike,,,,,2017.0
744,2024-09-21T00:00:00.000,2025-11-21 02:48:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Traffic Control Disregarded,4757577.0,Sedan,40.697186,-73.92884,"{'latitude': 40.697186, 'longitude': -73.92884, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HART STREET,BROOKLYN,11221.0,EVERGREEN AVENUE,Unspecified,Sedan,Unspecified,Bike,,,,,2024.0
753,2024-10-22T00:00:00.000,2025-11-21 23:10:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4765626.0,Pick-up Truck,40.757423,-73.92247,"{'latitude': 40.757423, 'longitude': -73.92247, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34 AVENUE,QUEENS,11101.0,37 STREET,Unspecified,Sedan,Unspecified,Bike,,,,,2024.0
764,2023-06-04T00:00:00.000,2025-11-21 19:28:00,,4.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,Alcohol Involvement,4634861.0,Sedan,40.737545,-73.98409,"{'latitude': 40.737545, 'longitude': -73.98409, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3 AVENUE,MANHATTAN,10010.0,EAST 21 STREET,Unspecified,Station Wagon/Sport Utility Vehicle,Unspecified,E-Bike,,,,,2023.0
769,2025-03-19T00:00:00.000,2025-11-21 17:28:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Traffic Control Disregarded,4799953.0,Station Wagon/Sport Utility Vehicle,40.730118,-73.86231,"{'latitude': 40.730118, 'longitude': -73.86231, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",QUEENS BLVD,,,63 DR,Unspecified,Sedan,Unspecified,Bike,,,,,2025.0
778,2025-05-01T00:00:00.000,2025-11-21 10:13:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4809521.0,Station Wagon/Sport Utility Vehicle,40.720833,-73.99766,"{'latitude': 40.720833, 'longitude': -73.99766, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOME ST,MANHATTAN,10013.0,CENTRE ST,Unspecified,Box Truck,Unspecified,Bike,,,,,2025.0
5,2022-07-03T00:00:00.000,2025-11-21 14:57:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Traffic Control Disregarded,4543294.0,Station Wagon/Sport Utility Vehicle,40.83202,-73.87323,"{'latitude': 40.83202, 'longitude': -73.87323, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",METCALF AVENUE,BRONX,10472.0,EAST 172 STREET,Unspecified,Station Wagon/Sport Utility Vehicle,Unspecified,Sedan,Unspecified,,E-Bike,,2022.0
52,2015-07-13T00:00:00.000,2025-11-21 07:05:00,,6.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,Following Too Closely,3257329.0,PASSENGER VEHICLE,40.6831278,-73.9791852,"{'latitude': 40.6831278, 'longitude': -73.9791852}",4 AVENUE                        ,BROOKLYN,11217.0,DEAN STREET                     ,Unspecified,PASSENGER VEHICLE,Unspecified,PASSENGER VEHICLE,Unspecified,,BICYCLE,,2015.0
