,crash_date,crash_time,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,collision_id,vehicle_type_code1,latitude,longitude,location,on_street_name,borough,zip_code,off_street_name,contributing_factor_vehicle_2,vehicle_type_code2,contributing_factor_vehicle_3,vehicle_type_code_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,vehicle_type_code_4,vehicle_type_code_5,crash_year
16439,2017-07-11T00:00:00.000,2025-11-21 17:49:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,3709467.0,Bike,40.677338,-73.927536,"{'latitude': 40.677338, 'longitude': -73.927536}",ATLANTIC AVENUE                 ,BROOKLYN,11233.0,ROCHESTER AVENUE,Unspecified,Station Wagon/Sport Utility Vehicle,,,,,,,2017.0
16554,2017-06-17T00:00:00.000,2025-11-21 09:23:00,99        EAST DRIVE                    ,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Driver Inexperience,3695343.0,Bike,,,,,,,,,,,,,,,,2017.0
16699,2017-06-17T00:00:00.000,2025-11-21 13:36:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Failure to Yield Right-of-Way,3692425.0,Bike,40.747852,-73.99291,"{'latitude': 40.747852, 'longitude': -73.99291}",7 AVENUE                        ,MANHATTAN,10001.0,WEST 29 STREET,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Bus,,,,,,,2017.0
17114,2017-04-05T00:00:00.000,2025-11-21 07:19:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Passing or Lane Usage Improper,3645566.0,Bike,40.728195,-73.984886,"{'latitude': 40.728195, 'longitude': -73.984886}",1 AVENUE                        ,MANHATTAN,10009.0,EAST 9 STREET,Unspecified,Box Truck,,,,,,,2017.0
17187,2017-03-03T00:00:00.000,2025-11-21 17:30:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Failure to Yield Right-of-Way,3626043.0,Bike,40.751835,-73.82427,"{'latitude': 40.751835, 'longitude': -73.82427}",COLDEN STREET                   ,QUEENS,11355.0,ELDER AVENUE,Unspecified,,,,,,,,2017.0
18404,2016-07-07T00:00:00.000,2025-11-21 08:07:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,3485897.0,BICYCLE,,,,BROADWAY                        ,QUEENS,11373.0,BAXTER AVENUE,Unspecified,PASSENGER VEHICLE,Unspecified,BICYCLE,,,,,2016.0
18491,2016-07-17T00:00:00.000,2025-11-21 20:47:00,,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,Alcohol Involvement,3482130.0,Bike,40.593147,-73.92548,"{'latitude': 40.593147, 'longitude': -73.92548}",GERRITSEN AVENUE                ,,,,Unspecified,4 dr sedan,Unspecified,4 dr sedan,Unspecified,,4 dr sedan,,2016.0
18636,2016-06-11T00:00:00.000,2025-11-21 00:42:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,3638938.0,Bike,40.83527,-73.832245,"{'latitude': 40.83527, 'longitude': -73.832245}",EAST TREMONT AVENUE             ,,,,Unspecified,4 dr sedan,Unspecified,Station Wagon/Sport Utility Vehicle,,,,,2016.0
18730,2016-05-26T00:00:00.000,2025-11-21 17:05:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Failure to Yield Right-of-Way,3507625.0,Bike,40.656204,-73.886696,"{'latitude': 40.656204, 'longitude': -73.886696}",VERMONT STREET                  ,BROOKLYN,11207.0,WORTMAN AVENUE,Unspecified,Van,,,,,,,2016.0
19196,2015-07-28T00:00:00.000,2025-11-21 14:14:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Passenger Distraction,3266691.0,BICYCLE,40.7498984,-73.9378107,"{'latitude': 40.7498984, 'longitude': -73.9378107}",QUEENS PLAZA NORTH              ,QUEENS,11101.0,29 STREET                       ,Traffic Control Disregarded,PASSENGER VEHICLE,,,,,,,2015.0
19741,2024-07-22T00:00:00.000,2025-11-21 21:55:00,1957      WESTCHESTER AVENUE,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Failure to Yield Right-of-Way,4742623.0,Bike,40.833443,-73.858864,"{'latitude': 40.833443, 'longitude': -73.858864, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,BRONX,10462.0,,Unspecified,,,,,,,,2024.0
19853,2023-09-16T00:00:00.000,2025-11-21 00:54:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Driver Inattention/Distraction,4667965.0,E-Bike,40.751892,-73.9676,"{'latitude': 40.751892, 'longitude': -73.9676, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1 AVENUE,MANHATTAN,10017.0,EAST 47 STREET,,,,,,,,,2023.0
20872,2024-12-01T00:00:00.000,2025-11-21 21:23:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Driver Inattention/Distraction,4775744.0,Bike,40.895374,-73.863556,"{'latitude': 40.895374, 'longitude': -73.863556, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEBSTER AVE,BRONX,10470.0,E 233 ST,Pavement Slippery,,,,,,,,2024.0
21132,2025-02-18T00:00:00.000,2025-11-21 15:05:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4796322.0,Bike,40.759167,-73.976746,"{'latitude': 40.759167, 'longitude': -73.976746, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",W 51 ST,MANHATTAN,10022.0,5 AVE,,,,,,,,,2025.0
21891,2025-06-18T00:00:00.000,2025-11-21 17:47:00,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4821445.0,E-Bike,40.789482,-73.95741,"{'latitude': 40.789482, 'longitude': -73.95741, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST DR,MANHATTAN,10000.0,97 ST TRANSVERSE,,,,,,,,,2025.0
21977,2025-06-05T00:00:00.000,2025-11-21 08:32:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Lost Consciousness,4824644.0,Bike,40.65769,-73.97305,"{'latitude': 40.65769, 'longitude': -73.97305, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CENTER DRIVE,,,WEST DRIVE,,,,,,,,,2025.0
22469,2025-08-26T00:00:00.000,2025-11-21 00:08:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Failure to Yield Right-of-Way,4837606.0,E-Bike,40.813095,-73.89826,"{'latitude': 40.813095, 'longitude': -73.89826, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRUCKNER BLVD,BRONX,10455.0,LEGGETT AVE,Unspecified,,,,,,,,2025.0
22680,2025-09-22T00:00:00.000,2025-11-21 16:20:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Traffic Control Disregarded,4844394.0,E-Bike,40.698357,-73.73136,"{'latitude': 40.698357, 'longitude': -73.73136, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",115 AVE,QUEENS,11411.0,227 ST,Unspecified,Sedan,,,,,,,2025.0
22823,2025-10-06T00:00:00.000,2025-11-21 19:30:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4848189.0,E-Bike,,,,SOUTHERN BLVD,,,SOUTHERN BLVD,,,,,,,,,2025.0
23047,2025-10-01T00:00:00.000,2025-11-21 15:05:00,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Traffic Control Disregarded,4846657.0,E-Bike,40.824818,-73.867615,"{'latitude': 40.824818, 'longitude': -73.867615, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ROSEDALE AVE,,,BRUCKNER BLVD,Unspecified,Station Wagon/Sport Utility Vehicle,,,,,,,2025.0
330,2016-02-11T00:00:00.000,2025-11-21 18:42:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Physical Disability,3387100.0,LARGE COM VEH(6 OR MORE TIRES),40.7219679,-74.0082326,"{'latitude': 40.7219679, 'longitude': -74.0082326}",HUDSON STREET                   ,MANHATTAN,10013.0,LAIGHT STREET                   ,Unspecified,BICYCLE,,,,,,,2016.0
371,2016-02-16T00:00:00.000,2025-11-21 17:39:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,3389878.0,SPORT UTILITY / STATION WAGON,40.5729078,-74.1370436,"{'latitude': 40.5729078, 'longitude': -74.1370436}",RICHMOND ROAD                   ,STATEN ISLAND,10306.0,ANDREWS AVENUE                  ,Unspecified,BICYCLE,,,,,,,2016.0
440,2016-01-19T00:00:00.000,2025-11-21 17:03:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,3373336.0,LARGE COM VEH(6 OR MORE TIRES),40.5982053,-73.9621036,"{'latitude': 40.5982053, 'longitude': -73.9621036}",AVENUE U                        ,BROOKLYN,11223.0,EAST 9 STREET                   ,Unspecified,BICYCLE,,,,,,,2016.0
686,2016-01-18T00:00:00.000,2025-11-21 09:44:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,3373300.0,PASSENGER VEHICLE,40.8538084,-73.8552781,"{'latitude': 40.8538084, 'longitude': -73.8552781}",NEILL AVENUE                    ,BRONX,10461.0,TOMLINSON AVENUE                ,Unspecified,BICYCLE,,,,,,,2016.0
1574,2015-10-14T00:00:00.000,2025-11-21 08:45:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Drugs (Illegal),3315347.0,PASSENGER VEHICLE,40.7262143,-73.920515,"{'latitude': 40.7262143, 'longitude': -73.920515}",56 ROAD                         ,QUEENS,11378.0,48 STREET                       ,Unspecified,BICYCLE,,,,,,,2015.0
1701,2015-10-14T00:00:00.000,2025-11-21 08:45:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Drugs (Illegal),3315345.0,LARGE COM VEH(6 OR MORE TIRES),40.7262143,-73.920515,"{'latitude': 40.7262143, 'longitude': -73.920515}",56 ROAD                         ,QUEENS,11378.0,48 STREET                       ,Unspecified,BICYCLE,,,,,,,2015.0
2068,2015-09-11T00:00:00.000,2025-11-21 23:56:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,3295077.0,UNKNOWN,40.8595489,-73.8009016,"{'latitude': 40.8595489, 'longitude': -73.8009016}",CITY ISLAND ROAD                ,BRONX,10464.0,CITY ISLAND BRIDGE              ,Unspecified,BICYCLE,,,,,,,2015.0
2371,2015-09-14T00:00:00.000,2025-11-21 17:18:00,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Tow Hitch Defective,3297268.0,PICK-UP TRUCK,40.5512542,-74.1345595,"{'latitude': 40.5512542, 'longitude': -74.1345595}",HYLAN BOULEVARD                 ,STATEN ISLAND,10308.0,REDGRAVE AVENUE                 ,Unspecified,BICYCLE,Unspecified,BICYCLE,,,,,2015.0
2637,2015-08-20T00:00:00.000,2025-11-21 19:22:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,3281241.0,LARGE COM VEH(6 OR MORE TIRES),40.6063974,-73.7517519,"{'latitude': 40.6063974, 'longitude': -73.7517519}",AUGUSTINA AVENUE                ,QUEENS,11691.0,BAYPORT PLACE                   ,,BICYCLE,,,,,,,2015.0
3158,2015-07-29T00:00:00.000,2025-11-21 23:05:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Driver Inattention/Distraction,3267799.0,BUS,40.6736898,-74.0118029,"{'latitude': 40.6736898, 'longitude': -74.0118029}",VAN DYKE STREET                 ,BROOKLYN,11231.0,DWIGHT STREET                   ,Unspecified,BICYCLE,,,,,,,2015.0
3272,2015-08-05T00:00:00.000,2025-11-21 18:58:00,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Other Vehicular,3272321.0,SPORT UTILITY / STATION WAGON,40.8401761,-73.9252686,"{'latitude': 40.8401761, 'longitude': -73.9252686}",OGDEN AVENUE                    ,BRONX,10452.0,WEST 169 STREET                 ,Physical Disability,BICYCLE,,,,,,,2015.0
3602,2015-08-05T00:00:00.000,2025-11-21 17:25:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Passenger Distraction,3272480.0,SPORT UTILITY / STATION WAGON,40.6488,-74.0134237,"{'latitude': 40.6488, 'longitude': -74.0134237}",3 AVENUE                        ,BROOKLYN,11220.0,48 STREET                       ,Unspecified,BICYCLE,,,,,,,2015.0
4161,2015-06-22T00:00:00.000,2025-11-21 10:25:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,3244293.0,SMALL COM VEH(4 TIRES) ,40.6500815,-73.9610074,"{'latitude': 40.6500815, 'longitude': -73.9610074}",CHURCH AVENUE                   ,BROOKLYN,11226.0,OCEAN AVENUE                    ,Unspecified,BICYCLE,,,,,,,2015.0
4467,2015-05-27T00:00:00.000,2025-11-21 23:15:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,3228849.0,PASSENGER VEHICLE,40.8075979,-73.9371788,"{'latitude': 40.8075979, 'longitude': -73.9371788}",EAST 129 STREET                 ,MANHATTAN,10035.0,PARK AVENUE                     ,Unspecified,BICYCLE,,,,,,,2015.0
5283,2015-04-16T00:00:00.000,2025-11-21 12:58:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,3203724.0,UNKNOWN,40.6748962,-73.8074409,"{'latitude': 40.6748962, 'longitude': -73.8074409}",131 STREET                      ,QUEENS,11420.0,ROCKAWAY BOULEVARD              ,Unspecified,BICYCLE,,,,,,,2015.0
5295,2015-04-05T00:00:00.000,2025-11-21 17:14:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Driver Inattention/Distraction,3197904.0,VAN,40.8254139,-73.923475,"{'latitude': 40.8254139, 'longitude': -73.923475}",GRAND CONCOURSE                 ,BRONX,10451.0,EAST 158 STREET                 ,Unspecified,BICYCLE,,,,,,,2015.0
5846,2015-01-17T00:00:00.000,2025-11-21 19:13:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Driver Inattention/Distraction,3154576.0,LARGE COM VEH(6 OR MORE TIRES),40.7564741,-73.9472651,"{'latitude': 40.7564741, 'longitude': -73.9472651}",VERNON BOULEVARD                ,QUEENS,11101.0,41 AVENUE                       ,Passenger Distraction,BICYCLE,,,,,,,2015.0
18597,2021-07-08T00:00:00.000,2025-11-21 22:03:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Traffic Control Disregarded,4456653.0,Sedan,40.721474,-73.98383,"{'latitude': 40.721474, 'longitude': -73.98383, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST HOUSTON STREET,MANHATTAN,10002.0,CLINTON STREET,Unspecified,Bike,,,,,,,2021.0
20025,2021-06-18T00:00:00.000,2025-11-21 23:22:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unsafe Speed,4428754.0,Sedan,40.866047,-73.87207,"{'latitude': 40.866047, 'longitude': -73.87207, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SOUTHERN BOULEVARD,BRONX,10467.0,BRONX RIVER PARKWAY,Unspecified,Bike,,,,,,,2021.0
20327,2021-06-29T00:00:00.000,2025-11-21 17:38:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Driver Inattention/Distraction,4433548.0,Box Truck,40.785294,-73.969345,"{'latitude': 40.785294, 'longitude': -73.969345, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CENTRAL PARK WEST,MANHATTAN,10024.0,WEST 86 STREET,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Bike,,,,,,,2021.0
20526,2021-06-04T00:00:00.000,2025-11-21 21:31:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Passing or Lane Usage Improper,4423679.0,Sedan,40.78322,-73.84586,"{'latitude': 40.78322, 'longitude': -73.84586, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",COLLEGE POINT BOULEVARD,,,,Unspecified,Bike,,,,,,,2021.0
20807,2021-10-07T00:00:00.000,2025-11-21 00:08:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4465371.0,Sedan,40.8020705,-73.9735112,"{'latitude': 40.8020705, 'longitude': -73.9735112, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HENRY HUDSON PARKWAY,,,,Unspecified,Bike,,,,,,,2021.0
21212,2021-10-15T00:00:00.000,2025-11-21 22:10:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4467747.0,Sedan,,,,ATLANTIC AVENUE,,,ESSEX STREET,Unspecified,Bike,,,,,,,2021.0
21221,2021-10-18T00:00:00.000,2025-11-21 17:50:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unsafe Speed,4468597.0,Station Wagon/Sport Utility Vehicle,40.5854046,-73.9390439,"{'latitude': 40.5854046, 'longitude': -73.9390439, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NOSTRAND AVENUE,,,SHORE PARKWAY,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Bike,,,,,,,2021.0
21598,2021-11-03T00:00:00.000,2025-11-21 08:35:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4474072.0,Box Truck,40.741047,-73.91818,"{'latitude': 40.741047, 'longitude': -73.91818, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47 AVENUE,QUEENS,11377.0,47 STREET,Unspecified,Bike,,,,,,,2021.0
22805,2022-05-05T00:00:00.000,2025-11-21 08:23:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4525008.0,Garbage or Refuse,40.647068,-73.993935,"{'latitude': 40.647068, 'longitude': -73.993935, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9 AVENUE,,,,Unspecified,Bike,,,,,,,2022.0
23254,2022-07-26T00:00:00.000,2025-11-21 10:49:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4549643.0,Tractor Truck Gasoline,40.780174,-73.95932,"{'latitude': 40.780174, 'longitude': -73.95932, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST 85 STREET,MANHATTAN,10028.0,MADISON AVENUE,Unspecified,Bike,,,,,,,2022.0
23364,2022-05-26T00:00:00.000,2025-11-21 12:56:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4531579.0,Tow Truck / Wrecker,,,,BRUCKNER BOULEVARD,,,EAST 136 STREET,Unspecified,Bike,,,,,,,2022.0
23390,2022-05-28T00:00:00.000,2025-11-21 10:39:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4532460.0,Bus,40.681927,-73.72874,"{'latitude': 40.681927, 'longitude': -73.72874, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",128 AVENUE,QUEENS,11422.0,238 STREET,Unspecified,Bike,,,,,,,2022.0
24174,2022-06-21T00:00:00.000,2025-11-21 22:46:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Traffic Control Disregarded,4539610.0,Sedan,40.63693,-73.91109,"{'latitude': 40.63693, 'longitude': -73.91109, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST 83 STREET,BROOKLYN,11236.0,FLATLANDS AVENUE,Unspecified,Bike,,,,,,,2022.0
24213,2022-10-12T00:00:00.000,2025-11-21 07:00:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Passing or Lane Usage Improper,4572613.0,Tractor Truck Diesel,40.65319,-73.96622,"{'latitude': 40.65319, 'longitude': -73.96622, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PARKSIDE AVENUE,,,,Unspecified,Bike,Unspecified,Flat Bed,,,,,2022.0
24244,2023-05-01T00:00:00.000,2025-11-21 11:32:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Failure to Yield Right-of-Way,4625373.0,Dump,40.686996,-73.95685,"{'latitude': 40.686996, 'longitude': -73.95685, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FRANKLIN AVENUE,BROOKLYN,11238.0,LEXINGTON AVENUE,Unspecified,Bike,,,,,,,2023.0
25652,2022-11-24T00:00:00.000,2025-11-21 11:37:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4585695.0,Tanker,,,,LIBERTY AVENUE,,,VANWYCK EXPRESSWAY,Unspecified,Bike,,,,,,,2022.0
26007,2023-03-04T00:00:00.000,2025-11-21 21:33:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Traffic Control Disregarded,4610630.0,Station Wagon/Sport Utility Vehicle,40.810352,-73.91761,"{'latitude': 40.810352, 'longitude': -73.91761, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST 142 STREET,BRONX,10454.0,BROOK AVENUE,,Bike,,,,,,,2023.0
26336,2023-01-05T00:00:00.000,2025-11-21 17:04:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4595961.0,Concrete Mixer,40.772987,-73.9164,"{'latitude': 40.772987, 'longitude': -73.9164, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24 AVENUE,QUEENS,11102.0,29 STREET,Unspecified,Bike,,,,,,,2023.0
26359,2023-01-10T00:00:00.000,2025-11-21 07:20:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4596866.0,Box Truck,40.672604,-73.993385,"{'latitude': 40.672604, 'longitude': -73.993385, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9 STREET,BROOKLYN,11215.0,2 AVENUE,Unspecified,Bike,,,,,,,2023.0
26850,2023-04-10T00:00:00.000,2025-11-21 21:35:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Failure to Yield Right-of-Way,4619930.0,Station Wagon/Sport Utility Vehicle,40.78228,-73.914604,"{'latitude': 40.78228, 'longitude': -73.914604, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",21 STREET,QUEENS,11105.0,21 AVENUE,Unspecified,Bike,,,,,,,2023.0
27198,2023-05-26T00:00:00.000,2025-11-21 21:19:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4633095.0,Station Wagon/Sport Utility Vehicle,40.60739,-73.943214,"{'latitude': 40.60739, 'longitude': -73.943214, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NOSTRAND AVENUE,BROOKLYN,11229.0,AVENUE R,Unspecified,Bike,,,,,,,2023.0
27313,2023-06-16T00:00:00.000,2025-11-21 12:39:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4638333.0,Box Truck,40.73321,-73.981064,"{'latitude': 40.73321, 'longitude': -73.981064, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1 AVENUE,MANHATTAN,10009.0,EAST 17 STREET,Unspecified,Bike,,,,,,,2023.0
28384,2023-09-21T00:00:00.000,2025-11-21 15:13:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4664589.0,Bus,40.642204,-73.991936,"{'latitude': 40.642204, 'longitude': -73.991936, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FORT HAMILTON PARKWAY,BROOKLYN,11218.0,41 STREET,Unspecified,Bike,,,,,,,2023.0
28603,2023-10-04T00:00:00.000,2025-11-21 10:08:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Driver Inattention/Distraction,4668084.0,Box Truck,40.65525,-73.952965,"{'latitude': 40.65525, 'longitude': -73.952965, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CLARKSON AVENUE,BROOKLYN,11226.0,ROGERS AVENUE,Unspecified,Bike,,,,,,,2023.0
28989,2024-02-22T00:00:00.000,2025-11-21 20:08:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4705063.0,Box Truck,40.72852,-73.90573,"{'latitude': 40.72852, 'longitude': -73.90573, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MAURICE AVENUE,,,,Unspecified,Bike,,,,,,,2024.0
29150,2023-08-26T00:00:00.000,2025-11-21 12:30:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Failure to Yield Right-of-Way,4657218.0,Sedan,40.617516,-74.068665,"{'latitude': 40.617516, 'longitude': -74.068665, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CHESTNUT AVENUE,STATEN ISLAND,10305.0,BAY STREET,Alcohol Involvement,Bike,,,,,,,2023.0
29761,2023-12-30T00:00:00.000,2025-11-21 10:06:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Traffic Control Disregarded,4691254.0,Sedan,40.742706,-73.984535,"{'latitude': 40.742706, 'longitude': -73.984535, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PARK AVENUE SOUTH,MANHATTAN,10016.0,EAST 27 STREET,Unspecified,Bike,,,,,,,2023.0
30200,2024-04-18T00:00:00.000,2025-11-21 15:30:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Turning Improperly,4718424.0,Station Wagon/Sport Utility Vehicle,40.58196,-73.959946,"{'latitude': 40.58196, 'longitude': -73.959946, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEPTUNE AVENUE,BROOKLYN,11235.0,CONEY ISLAND AVENUE,Unspecified,Bike,,,,,,,2024.0
30234,2024-03-13T00:00:00.000,2025-11-21 14:29:00,1608      AVENUE O,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Unspecified,4709603.0,Station Wagon/Sport Utility Vehicle,40.61307,-73.957954,"{'latitude': 40.61307, 'longitude': -73.957954, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,BROOKLYN,11230.0,,Unspecified,Bike,,,,,,,2024.0
30352,2024-06-10T00:00:00.000,2025-11-21 09:15:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Driver Inattention/Distraction,4731666.0,Station Wagon/Sport Utility Vehicle,40.759895,-73.823944,"{'latitude': 40.759895, 'longitude': -73.823944, 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41 AVENUE,QUEENS,11355.0,BOWNE STREET,Unspecified,Bike,,,,,,,2024.0
31195,2020-12-25T00:00:00.000,2025-11-21 00:12:00,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Alcohol Involvement,4381549.0,Flat Bed,40.662132,-73.999275,"{'latitude': 40.662132, 'longitude': -73.999275}",24 STREET                       ,BROOKLYN,11232.0,3 AVENUE,Unspecified,Bike,,,,,,,2020.0
